route_id,route_id,valley metro survey ID,route_type,route_name,total_c,white_c,black_c,asian_c,latino_c,other_c,poc_c,male_c,female_c,pct_white_c,pct_black_c,pct_asian_c,pct_latino_c,pct_other_c,pct_poc_c,totalhhs_c,totalhhs_cv_c,below15k_c,below15k_cv_c,below15k_prop_c,below15k_prop_moe_c,below20k_c,below20k_cv_c,below20k_prop_c,below20k_prop_moe_c,below25k_c,below25k_cv_c,below25k_prop_c,below25k_prop_moe_c,above50k_c,above50k_cv_c,above50k_prop_c,above50k_prop_moe_c,above100k_c,above100k_cv_c,above100k_prop_c,above100k_prop_moe_c,total_r,white_r,black_r,aisan_r,amerindian_r,latino_r,other_r,poc_r,pct_white_r,pct_black_r,pct_asian_r,pct_amerindian_r,pct_latino_r,pct_other_r,pct_poc_r,below15_r,below20_r,below25_r,above50_r,above100_r,below15k_prop_r,below20k_prop_r,below25k_prop_r,above50k_prop_r,above100k_prop_r,white_diff,black_diff,asian_diff,latino_diff,poc_diff,below15k_diff,below25k_diff,above50k_diff
05192014download:50,50,B_562,Express,Goodyear-Downtown Express,4978,2115,876,67,1598,322,2863,3794,1184,0.425,0.176,0.014,0.321,0.065,0.575,661,0.011,199.642,0.300,0.302,0.149,273.949,0.247,0.414,0.168,327.869,0.232,0.496,0.189,183.010,0.267,0.277,0.121,50.801,0.434,0.077,0.055,208,87,47,0,27,39,7,120,0.420908172,0.226272451,0,0.131362257,0.189820388,0.031636731,0.579091828,33.85,33.85,40.42,127.83,13.14,0.162998989,0.162998989,0.19463572,0.615543892,0.063273463,0.004,-0.050,0.014,0.131,0.033,0.139,0.301,-0.339
05192014download:52,52,B_571,Express,Surprise Express,10472,3976,1190,147,4680,480,6496,6543,3929,0.380,0.114,0.014,0.447,0.046,0.620,2093,0.007,357.555,0.227,0.171,0.064,499.342,0.193,0.239,0.076,639.933,0.173,0.306,0.087,808.128,0.150,0.386,0.095,239.733,0.280,0.115,0.053,160,113,12,12,5,17,0,47,0.709039725,0.077885518,0.077885518,0.028651861,0.106537379,0,0.290960275,4.58,4.58,17.03,104.18,36.06,0.028651861,0.028651861,0.106537379,0.651736003,0.225586487,-0.329,0.036,-0.064,0.340,0.046,0.142,0.199,-0.266
05192014download:53,53,B_573,Express,Northwest Valley-Downtown Express,6971,3418,999,297,1834,424,3553,4767,2204,0.490,0.143,0.043,0.263,0.061,0.510,1586,0.007,443.685,0.195,0.280,0.090,547.608,0.172,0.345,0.098,626.631,0.163,0.395,0.106,576.834,0.165,0.364,0.099,171.399,0.297,0.108,0.053,209,152,13,0,8,36,0,57,0.727242271,0.060687279,0,0.040346511,0.17172394,0,0.272757729,6.34,6.34,6.34,168.81,31.63,0.030343639,0.030343639,0.030343639,0.807935292,0.151383172,-0.237,0.083,0.043,0.091,0.061,0.249,0.365,-0.444
05192014download:54,54,B_575,Express,Northwest Valley-Downtown Express,7124,3410,970,302,2042,400,3714,4810,2314,0.479,0.136,0.042,0.287,0.056,0.521,1472,0.008,426.638,0.198,0.290,0.094,509.727,0.177,0.346,0.101,583.834,0.167,0.397,0.109,560.012,0.166,0.381,0.104,166.058,0.295,0.113,0.055,215,116,7,23,7,53,8,99,0.538072009,0.034657375,0.108524971,0.034657375,0.247154472,0.036933798,0.461927991,0,0,0,177.46,77.05,0,0,0,0.824436702,0.357955865,-0.059,0.101,-0.066,0.039,0.019,0.290,0.397,-0.444
05192014download:89,89,Station-specific,Light rail,Light rail,79720,38131,6352,4624,25406,5207,41589,43852,35868,0.478,0.080,0.058,0.319,0.065,0.522,32157,0.002,8201.447,0.049,0.255,0.021,10978.728,0.043,0.341,0.024,12850.947,0.039,0.400,0.026,9708.884,0.044,0.302,0.022,3088.748,0.077,0.096,0.012,42161,19115,6957,2166,2535,10089,1299,23046,0.45338337,0.165020593,0.051367001,0.060125111,0.239299807,0.030804119,0.54661663,11371.16,14127.46,16964.3,9793.27,1943.72,0.267263471,0.33204651,0.398722531,0.230177337,0.045684464,0.025,-0.085,0.007,0.079,0.035,-0.012,0.001,0.072
05192014download:1,1,B_1,Local,Washington,13961,3957,1821,192,7369,622,10004,8605,5356,0.283,0.130,0.014,0.528,0.045,0.717,3380,0.005,1301.985,0.102,0.385,0.065,1668.557,0.090,0.494,0.073,1965.049,0.084,0.581,0.080,712.348,0.140,0.211,0.049,235.273,0.250,0.070,0.029,462,85,155,0,19,203,0,377,0.184907049,0.334754474,0,0.040340208,0.439998269,0,0.815092951,237.87,314.22,339.46,76.69,0,0.514792131,0.680026836,0.734650594,0.165970524,0,0.099,-0.204,0.014,0.088,0.045,-0.130,-0.153,0.045
05192014download:2,2,B_10,Local,Roosevelt/Grant,41760,10512,3557,476,25793,1422,31249,22751,19009,0.252,0.085,0.011,0.618,0.034,0.748,13050,0.002,3848.658,0.065,0.295,0.032,4997.833,0.057,0.383,0.036,5995.313,0.052,0.459,0.040,3809.603,0.068,0.292,0.032,1375.742,0.112,0.105,0.019,3364,828,698,127,174,1537,0,2536,0.246229348,0.207598376,0.037715434,0.051606057,0.456850785,0,0.753770652,1220.729839,1388.064317,1627.52236,573.9572106,94.35091111,0.362862687,0.412602962,0.483782011,0.17060913,0.028045866,0.005,-0.122,-0.026,0.161,0.034,-0.068,-0.024,0.121
05192014download:3,3,B_104,Local,Alma School,29306,14647,1572,1002,10450,1635,14659,14594,14712,0.500,0.054,0.034,0.357,0.056,0.500,11345,0.003,1272.727,0.128,0.112,0.024,1924.749,0.103,0.170,0.029,2662.201,0.089,0.235,0.034,5447.436,0.056,0.480,0.044,1599.483,0.104,0.141,0.024,1463,837,257,37,73,259,0,626,0.571930568,0.175459586,0.025411388,0.050221162,0.176977296,0,0.428069432,605.132919,704.1075035,907.8887636,152.9058356,0,0.413696728,0.481360311,0.620674564,0.10453347,0,-0.072,-0.122,0.009,0.180,0.056,-0.302,-0.386,0.376
05192014download:4,4,B_106,Local,Peoria/Shea,57703,32788,2554,1034,19234,2093,24915,27849,29854,0.568,0.044,0.018,0.333,0.036,0.432,24100,0.002,3573.048,0.076,0.148,0.018,5316.627,0.061,0.221,0.022,7265.573,0.053,0.301,0.026,9206.949,0.044,0.382,0.028,2577.625,0.086,0.107,0.015,3804,1877,473,46,46,1342,20,1926,0.493598204,0.124426205,0.011970176,0.012062193,0.352745542,0.00519768,0.506401796,780.190905,1289.205709,1764.996674,648.161207,158.9868723,0.205116478,0.338939268,0.464027329,0.170405145,0.041798523,0.075,-0.080,0.006,-0.019,0.031,-0.057,-0.163,0.212
05192014download:5,5,B_108,Local,Elliot,50042,35168,2275,2379,8258,1962,14874,24446,25596,0.703,0.045,0.048,0.165,0.039,0.297,19365,0.002,1252.063,0.136,0.065,0.015,1792.401,0.112,0.093,0.017,2411.575,0.093,0.125,0.019,12635.222,0.036,0.652,0.038,5405.807,0.052,0.279,0.024,691,293,149,18,0,230,0,397,0.424671019,0.215542076,0.026347409,0,0.333439495,0,0.575328981,120.4,148.23,204.82,318.54,42.11,0.174298247,0.214586621,0.296509692,0.461137571,0.060960957,0.278,-0.170,0.021,-0.168,0.039,-0.110,-0.172,0.191
