OBJECTID,Join_Count,TARGET_FID,route_id,id_num,CE01_r,CE02_r,CE03_r,CNS01_r,CNS02_r,CNS03_r,CNS04_r,CNS05_r,CNS06_r,CNS07_r,CNS08_r,CNS09_r,CNS10_r,CNS11_r,CNS12_r,CNS13_r,CNS14_r,CNS15_r,CNS16_r,CNS17_r,CNS18_r,CNS19_r,CNS20_r,CR01_r,CR02_r,CR03_r,CR04_r,CR05_r,CR07_r,CT01_r,CT02_r,CD01_r,CD02_r,CD03_r,CD04_r,CS01_r,CS02_r,CE01_w,CE02_w,CE03_w,CNS01_w,CNS02_w,CNS03_w,CNS04_w,CNS05_w,CNS06_w,CNS07_w,CNS08_w,CNS09_w,CNS10_w,CNS11_w,CNS12_w,CNS13_w,CNS14_w,CNS15_w,CNS16_w,CNS17_w,CNS18_w,CNS19_w,CNS20_w,CR01_w,CR02_w,CR03_w,CR04_w,CR05_w,CR07_w,CT01_w,CT02_w,CD01_w,CD02_w,CD03_w,CD04_w,CS01_w,CS02_w,Shape_Length,Shape_Area
39,475,39,05192014download:39,39,1586,1994,2787,7,12,44,189,247,289,676,181,144,497,171,455,95,659,526,914,156,630,237,238,5452,437,142,239,14,83,5470,897,460,1146,1694,1590,3353,3014,11286,31351,50905,15,1273,6832,1108,4070,1032,2099,151,2805,8112,1028,4669,541,1836,680,5339,3279,6007,5246,37420,81524,5521,1870,3082,174,1371,73353,20189,6608,16623,28090,26240,49134,44408,67359.188027273922000,18196076.927725825000000
40,235,40,05192014download:40,40,1713,3194,1167,53,9,27,340,538,269,639,272,85,323,133,229,61,764,464,651,83,660,168,306,4514,1073,211,161,17,98,2594,3480,1204,1124,1245,709,3186,2888,1548,5606,6720,41,2,1,1123,1288,1784,4412,521,29,814,196,363,64,1606,840,192,7,109,383,99,11883,942,343,475,34,197,10630,3244,1484,2726,3645,2975,7884,5990,27308.143549114586000,10124812.945790179000000
41,403,41,05192014download:41,41,2147,3233,2863,9,6,44,300,428,324,904,266,154,560,214,466,120,905,996,910,177,855,287,318,6900,645,234,305,20,139,6854,1389,661,1348,1868,1643,4516,3727,11776,29930,45785,14,1270,6861,1241,762,903,1741,226,2819,6412,1103,4608,464,3184,3093,1334,3589,5169,5184,37514,76096,5400,1964,2584,153,1294,67223,20268,6517,15921,26329,23626,45882,41609,29722.278149762671000,11008895.718085039000000
42,365,42,05192014download:42,42,1391,2068,2141,7,15,42,200,328,240,547,174,117,372,132,333,91,588,600,644,127,544,210,289,4714,444,147,191,11,93,4578,1022,467,950,1395,1196,3090,2510,9275,27048,43999,5,1269,6832,992,593,842,855,126,2731,6267,978,4126,456,1302,558,1304,3174,4726,4979,38207,69736,5063,1726,2366,147,1284,61836,18486,5783,14575,24555,22401,42497,37825,26264.845635287285000,9031002.834937751300000
43,336,43,05192014download:43,43,1465,2011,2877,10,15,52,241,458,301,618,199,131,451,151,393,98,606,706,734,147,559,216,267,5372,424,170,298,12,77,5404,949,492,1100,1666,1533,3413,2940,11261,29676,46538,38,1275,6832,1614,937,937,2459,157,2886,6953,1029,4193,741,1187,2921,1893,3701,5129,5180,37413,76038,5347,1882,2739,157,1312,67554,19921,6464,15938,26363,23935,45295,42180,37690.532651376991000,12339504.091193883000000
44,279,44,05192014download:44,44,821,1094,1136,8,2,22,121,168,117,322,92,61,212,76,179,42,318,249,411,67,307,128,149,2471,294,85,139,5,57,2366,685,261,573,790,607,1672,1379,10381,28336,43965,5,1269,6840,1018,701,867,2988,142,2728,6271,948,4012,550,1193,508,1445,3528,5172,5123,37374,71929,5167,1762,2424,151,1249,63557,19125,6122,15038,25049,22353,43958,38724,23065.456216828246000,7202985.861583396800000
45,212,45,05192014download:45,45,511,596,557,3,2,8,58,58,60,158,52,36,121,44,102,26,209,130,195,38,178,89,97,1314,206,58,55,4,27,1304,360,155,318,429,291,997,667,8929,26348,42578,5,1269,6832,784,569,670,529,94,2728,6140,981,3792,456,1096,486,983,3157,4960,4959,37365,67636,4954,1662,2276,143,1184,59824,18031,5611,14057,23901,21543,41081,36774,13148.184386219518000,4615043.322363643000000
46,219,46,05192014download:46,46,525,606,579,3,2,7,59,59,67,164,52,37,125,44,108,26,213,135,196,42,184,89,98,1358,207,58,56,4,27,1349,361,155,325,445,298,1019,691,8686,26174,42498,5,1269,6832,784,585,683,500,94,2734,6131,894,3909,458,906,483,1000,3185,4539,5007,37360,67203,4905,1655,2274,144,1177,59467,17891,5571,14001,23845,21509,40843,36515,15676.141056515280000,5123588.320995988300000
47,353,47,05192014download:47,47,1691,2625,2675,22,13,53,305,500,312,752,216,141,468,160,394,86,701,650,817,146,712,253,290,5848,526,201,283,17,116,5494,1497,632,1304,1772,1463,3631,3360,11083,28813,44114,5,1269,6832,944,690,921,1685,135,2775,6349,1751,4500,551,1345,1024,1872,3230,5573,5171,37388,72909,5288,1845,2527,159,1282,64618,19392,6298,15258,25453,22629,44101,39909,33165.181848719381000,10415612.417855427000000
48,225,48,05192014download:48,48,723,1089,952,9,2,11,102,125,112,298,100,53,204,66,163,41,332,219,331,67,284,120,125,2159,332,117,105,6,45,2098,666,256,491,709,486,1532,1232,8479,25984,42605,5,1269,6832,784,569,679,746,102,2723,6105,893,3790,456,933,483,979,3157,4260,4944,37359,66944,4897,1653,2260,143,1171,59211,17857,5539,14001,23801,21482,40821,36247,18204.097726811033000,5632133.319628333700000
49,267,49,05192014download:49,49,1952,3250,2466,33,9,48,294,547,333,1001,282,148,466,179,414,110,826,688,805,172,787,242,284,5990,427,685,392,21,153,5514,2154,775,1316,1704,1336,4058,3610,9233,12297,12861,2,4,4096,1009,1062,1623,7405,175,822,2741,423,1625,537,3468,938,3124,704,3649,806,178,30018,1755,865,1114,72,567,26384,8007,2790,5698,8060,7360,17514,16877,40146.561135877571000,13830459.500101229000000
50,140,50,05192014download:50,50,395,422,343,2,1,6,47,44,42,119,32,20,74,31,72,20,158,68,133,31,131,70,59,894,163,48,34,4,17,890,270,117,244,304,202,747,413,6302,23204,33777,5,1269,958,734,556,421,168,12,2472,5986,873,2881,116,639,404,758,2732,3242,1997,37060,54612,4403,1269,1897,127,975,47885,15398,4703,11843,20244,16520,32781,30502,10090.007606548490000,3333741.467751071800000
51,157,51,05192014download:51,51,406,437,364,2,1,7,49,48,44,122,33,20,78,31,73,20,160,74,140,33,137,71,64,937,165,48,36,4,17,918,289,125,255,315,209,772,435,6318,23214,33779,5,1269,958,734,556,421,168,12,2472,5986,873,2883,116,639,404,758,2732,3268,1997,37060,54639,4404,1269,1897,127,975,47911,15400,4707,11846,20252,16527,32792,30519,15324.088467603982000,4422222.492784492700000
