OBJECTID,Join_Count,TARGET_FID,route_id,id_num,CE01_r,CE02_r,CE03_r,CNS01_r,CNS02_r,CNS03_r,CNS04_r,CNS05_r,CNS06_r,CNS07_r,CNS08_r,CNS09_r,CNS10_r,CNS11_r,CNS12_r,CNS13_r,CNS14_r,CNS15_r,CNS16_r,CNS17_r,CNS18_r,CNS19_r,CNS20_r,CR01_r,CR02_r,CR03_r,CR04_r,CR05_r,CR07_r,CT01_r,CT02_r,CD01_r,CD02_r,CD03_r,CD04_r,CS01_r,CS02_r,CE01_w,CE02_w,CE03_w,CNS01_w,CNS02_w,CNS03_w,CNS04_w,CNS05_w,CNS06_w,CNS07_w,CNS08_w,CNS09_w,CNS10_w,CNS11_w,CNS12_w,CNS13_w,CNS14_w,CNS15_w,CNS16_w,CNS17_w,CNS18_w,CNS19_w,CNS20_w,CR01_w,CR02_w,CR03_w,CR04_w,CR05_w,CR07_w,CT01_w,CT02_w,CD01_w,CD02_w,CD03_w,CD04_w,CS01_w,CS02_w,Shape_Length,Shape_Area
81,246,81,05192014download:81,81,637,902,615,8,4,15,102,115,88,219,71,34,141,55,112,29,262,151,249,50,224,104,121,1745,217,90,61,8,33,1426,728,278,440,537,353,1298,856,7432,24955,36781,7,1270,1038,808,635,702,825,41,2577,6130,887,2979,203,1154,653,823,3294,3562,2166,39414,59944,4634,1367,2020,138,1065,52277,16891,5295,13001,22021,17703,36485,32683,19951.292059164902000,5713042.890104636500000
82,170,82,05192014download:82,82,899,1572,735,33,6,16,227,227,145,445,122,53,132,60,128,38,320,227,437,45,287,104,154,2582,335,84,151,2,52,1853,1353,514,658,717,473,1692,1514,1745,2470,2241,0,1,4,275,89,431,1451,29,31,194,52,142,91,663,293,193,218,527,202,1570,5676,317,132,194,14,123,4477,1979,803,1212,1731,1157,3681,2775,15536.601477310840000,4733184.141668126000000
83,177,83,05192014download:83,83,853,1523,711,30,6,16,224,219,143,431,114,48,132,55,120,39,302,219,424,45,277,97,146,2559,284,82,109,3,50,1765,1322,491,642,708,442,1633,1454,2210,3090,3133,2,1,4,401,92,433,1502,29,34,201,53,156,91,670,2039,195,219,531,203,1577,7444,433,164,224,19,149,5858,2575,1028,1542,2226,1564,4266,4167,13958.265928177283000,4869112.858860588600000
84,171,84,05192014download:84,84,1570,2510,1953,38,7,50,277,373,281,761,179,110,352,143,330,84,530,527,854,104,555,177,301,5010,455,122,344,11,91,4678,1355,610,1134,1479,1219,2934,3099,1171,1912,802,0,0,0,52,8,374,1505,26,108,77,20,36,1,71,1,1145,2,439,11,9,3245,359,82,122,11,66,2807,1078,484,815,908,545,1855,2030,19391.655890663729000,6285207.820876635600000
85,201,85,05192014download:85,85,559,650,660,4,2,7,64,79,70,182,58,40,139,48,115,29,225,151,224,43,195,93,101,1506,211,58,63,4,27,1490,379,168,349,495,345,1106,763,8407,25815,42208,5,1269,6832,785,569,658,471,78,2715,6117,891,3586,456,889,483,979,3143,4210,4938,37356,66357,4879,1645,2249,141,1159,58686,17744,5496,13877,23618,21324,40428,36002,14303.158308908867000,4419124.998489525200000
86,158,86,05192014download:86,86,648,899,505,18,4,6,93,97,86,245,90,29,114,51,117,29,241,118,246,42,231,101,94,1529,338,75,60,7,43,1352,700,263,372,473,307,1212,840,7089,23771,33990,5,1269,958,746,556,498,770,16,2503,6055,916,3065,116,643,406,784,2735,3714,2030,37065,55955,4492,1310,1971,127,995,48837,16013,4885,12045,20494,16691,33457,31393,12901.261493706525000,3847760.712170998600000
87,180,87,05192014download:87,87,626,797,606,6,1,17,75,74,77,210,68,43,137,50,114,31,262,142,256,45,205,105,111,1583,246,94,64,5,37,1560,469,211,394,537,355,1191,838,10403,27461,42474,5,1269,6833,786,557,834,2251,81,2659,6160,892,3553,500,932,726,985,3092,4676,6145,37402,69790,5051,1753,2363,147,1234,61516,18822,5809,14423,24278,21709,41722,38616,16928.171219253138000,4989340.134694951600000
88,135,88,05192014download:88,88,623,980,1004,5,2,26,90,175,108,244,68,47,155,68,158,29,283,385,261,58,278,71,96,2200,143,73,133,5,53,2158,449,200,419,593,567,1448,1159,5479,5445,5629,5,0,30,231,65,150,1293,143,362,2553,378,1355,28,1416,2358,473,460,3786,437,1030,14446,953,372,483,23,276,12735,3818,1300,2642,3702,3356,7932,8621,14692.241258092912000,4438267.181863998100000
89,1242,89,05192014download:89,89,7072,11798,8641,65,38,139,1061,1375,1058,2707,890,553,1752,644,1684,385,3127,2643,3402,612,3105,980,1291,22165,2353,1077,1293,69,554,20576,6935,2830,4607,6201,5119,15085,12426,32577,64686,96519,47,1298,10943,3362,2665,4229,9131,2067,6593,15547,3578,14441,2519,15276,17471,33280,4740,11962,7596,27037,165927,12787,4231,7334,326,3177,151065,42717,14840,32900,53025,54367,94556,99226,68855.072498168331000,42800075.635099672000000
90,328,90,05192014download:90,90,963,1569,839,14,2,12,190,221,138,432,94,56,165,94,171,27,360,269,448,90,360,106,122,3002,153,79,77,8,52,2692,679,345,693,815,629,1695,1676,6887,6312,7664,5,6,0,302,200,182,1312,35,101,580,236,287,17,1212,11663,1648,12,1412,314,1339,19067,725,319,420,46,286,16803,4060,1688,3974,5605,5200,8207,12656,37376.542087455964000,8170904.965739524000000
91,145,91,05192014download:91,91,1779,2522,2100,36,8,39,233,400,275,829,187,113,353,132,363,77,630,760,671,127,795,191,182,5247,427,186,414,13,114,5158,1243,549,987,1334,1240,3574,2827,3050,3368,2700,4,3,1,209,347,138,884,2,36,300,280,465,61,524,101,2181,49,2322,335,876,7865,484,251,353,11,154,6980,2138,786,1528,2075,1609,4511,4607,19017.570787193436000,5726898.673126764600000
92,727,92,05192014download:92,92,5199,10098,3274,145,25,76,1376,1894,957,2143,976,185,793,304,565,155,2175,1377,2016,271,1779,527,832,15972,1334,509,451,49,256,7020,11551,3949,3510,3695,2150,9788,8783,5017,5380,3585,1,0,0,56,35,136,3856,77,49,487,72,533,7,1335,2959,2534,78,1636,92,39,12032,786,399,522,25,218,8225,5757,2174,2330,2942,2153,5466,8516,62398.165778825365000,23403661.549698211000000
93,161,93,05192014download:93,93,1373,2044,1199,16,7,22,172,302,168,551,139,73,256,104,252,68,513,487,456,114,617,177,122,3664,381,186,285,16,84,3317,1299,510,690,881,715,2637,1979,5989,7887,10624,0,0,1,89,114,359,999,19,302,2419,364,660,93,786,13107,530,70,3208,393,987,21188,1118,474,1253,40,427,20337,4163,1371,3490,5572,7894,12050,12450,17048.578704335090000,4650177.687699982900000
94,394,94,05192014download:95,95,3581,5263,5578,76,33,72,475,628,628,1821,384,297,1051,363,991,189,1381,1112,1747,420,1840,457,457,12844,503,336,483,22,234,12121,2301,1147,2423,3395,3008,7358,7064,4210,6518,8261,2,1,5,212,84,357,1708,82,424,2044,171,842,374,1005,140,6108,1092,2693,481,1164,16955,790,330,605,25,284,15660,3329,1426,3365,4886,4804,8376,10613,34345.702815892364000,12426719.034036351000000
95,192,95,05192014download:96,96,1288,1986,1197,7,9,24,249,287,160,527,138,77,238,117,210,60,462,444,598,122,459,138,145,3878,279,162,80,9,63,3396,1075,476,848,1081,818,2286,2185,1092,1677,3356,9,4,361,353,38,35,260,15,255,57,227,441,6,238,117,1252,659,355,172,1271,5606,218,78,131,11,81,4894,1231,417,1175,1836,1672,3272,2853,16768.330828168273000,6225120.999375801500000
96,82,96,05192014download:97,97,229,311,516,10,4,7,31,45,56,118,35,30,96,25,98,18,107,69,106,27,119,27,28,905,34,18,73,0,26,946,110,75,163,229,221,580,476,5886,6473,5433,0,0,16,141,123,866,5113,86,449,2069,288,1185,96,913,243,936,233,4707,263,65,15681,791,379,597,22,322,14292,3500,1337,2777,3604,3490,7816,9976,5711.250120958574400,1996223.674456299300000
97,91,97,05192014download:98,98,11,32,8,0,1,0,1,3,3,4,4,0,1,5,4,0,7,1,6,0,5,3,3,38,11,2,0,0,0,31,20,6,13,9,5,30,21,1849,6216,6025,0,0,1,261,139,489,426,7506,16,1004,38,513,26,1003,245,668,1,1376,348,30,11922,1112,226,543,64,223,11484,2606,1367,3259,4094,3182,7529,6561,9962.026176889350600,5511796.410725883200000
98,257,98,05192014download:99,99,2040,3536,3091,22,13,43,315,441,346,1005,213,173,648,224,560,130,883,693,1066,276,1105,241,270,7612,373,212,302,16,152,7089,1578,794,1457,1941,1692,4434,4233,2999,5303,6254,0,1,5,263,103,171,1491,41,422,224,223,310,39,451,94,6194,965,2156,266,1137,13038,559,264,470,24,201,12028,2528,1048,2450,3707,3549,6148,8408,25492.526176710573000,7982636.053262898700000
99,226,99,05192014download:100,100,637,806,898,4,5,9,94,106,110,219,59,46,162,57,157,38,271,173,295,53,260,113,110,1916,247,68,70,6,34,1886,455,209,434,606,520,1359,982,13396,30168,45181,6,1270,6832,927,565,1004,1734,150,3200,6305,922,4004,498,2266,427,3323,3597,7493,5023,39199,76925,5737,1905,2614,171,1393,67397,21348,6745,15879,26143,23333,46696,42049,23137.688552742868000,6676685.850992086300000
100,230,100,05192014download:101,101,1807,2996,1609,58,8,42,341,320,255,673,209,118,329,148,354,62,750,458,985,113,750,194,245,5417,488,235,157,15,100,4069,2343,876,1244,1466,1144,3342,3070,1779,2982,2817,5,0,0,606,33,163,278,13,21,231,38,298,35,315,30,4306,3,998,180,25,6475,433,179,350,26,115,5857,1721,693,1346,2112,1760,2827,4751,16135.120569856021000,6561573.691965896600000
101,120,101,05192014download:102,102,1137,1665,1147,24,9,28,137,214,167,482,158,76,235,95,243,44,401,446,357,81,492,143,117,3300,250,151,180,11,57,3115,834,375,607,793,689,2214,1735,3538,4021,4449,0,2,1,471,384,648,749,84,385,2678,318,749,4,557,342,365,27,2720,604,920,10637,600,186,345,22,218,9578,2430,878,1925,2761,2456,6608,5400,13375.187815111722000,4342770.860671266900000
102,605,102,05192014download:103,103,3076,4943,4662,55,16,110,530,722,544,1211,412,254,823,325,758,174,1362,1138,1679,246,1145,424,753,10720,1006,331,377,27,220,8442,4239,1546,2242,3139,2593,6776,5905,14226,34474,49512,13,1287,969,1235,1112,1378,2369,148,5097,10819,2973,9027,311,8417,3808,17631,3271,4907,3763,19677,83924,7296,1994,3152,172,1674,75612,22600,7549,16713,28310,26961,45878,52334,55143.205179496181000,20793586.421382841000000
